date	car-count
2016-09-14-00:08:20	383
2016-09-15-02:06:07	383
2016-09-16-01:00:02	383
2016-09-17-01:00:02	383
2016-09-18-01:00:02	383
2016-09-19-01:00:02	383
2016-09-20-01:00:03	384
2016-10-04-01:00:03	383
2016-10-05-01:00:03	385
2016-10-06-01:00:02	385
2016-10-07-01:00:02	386
2016-10-08-01:00:02	386
2016-10-09-01:00:02	386
2016-10-10-01:00:02	386
2016-10-11-01:00:02	386
2016-10-12-01:00:02	386
2016-10-13-01:00:02	387
2016-10-14-01:00:03	387
2016-10-15-01:00:02	387
2016-10-16-01:00:02	387
2016-10-17-01:00:03	387
2016-10-18-01:00:02	387
2016-10-19-01:00:02	387
2016-10-20-01:00:02	386
2016-10-21-01:00:02	386
2016-10-22-01:00:02	386
2016-10-23-01:00:02	386
2016-10-24-01:00:02	386
2016-10-25-01:00:02	386
2016-10-26-01:00:03	386
2016-10-27-01:00:03	387
2016-10-28-01:00:03	387
2016-10-29-01:00:02	387
2016-11-20-01:00:02	387
2016-11-21-01:00:02	387
